season,seasontype,week,poll,rank,team,conference,firstplacevotes
2012,regular,1,AP Top 25,1,USC,Pac-12,25
2012,regular,1,AP Top 25,2,Alabama,SEC,17
2012,regular,1,AP Top 25,3,LSU,SEC,16
2012,regular,1,AP Top 25,4,Oklahoma,Big 12,1
2012,regular,1,AP Top 25,5,Oregon,Pac-12,0
2012,regular,1,AP Top 25,6,Georgia,SEC,0
2012,regular,1,AP Top 25,7,Florida State,ACC,0
2012,regular,1,AP Top 25,8,Michigan,Big Ten,1
2012,regular,1,AP Top 25,9,South Carolina,SEC,0
2012,regular,1,AP Top 25,10,Arkansas,SEC,0
2012,regular,1,AP Top 25,11,West Virginia,Big 12,0
2012,regular,1,AP Top 25,12,Wisconsin,Big Ten,0
2012,regular,1,AP Top 25,13,Michigan State,Big Ten,0
2012,regular,1,AP Top 25,14,Clemson,ACC,0
2012,regular,1,AP Top 25,15,Texas,Big 12,0
2012,regular,1,AP Top 25,16,Virginia Tech,ACC,0
2012,regular,1,AP Top 25,17,Nebraska,Big Ten,0
2012,regular,1,AP Top 25,18,Ohio State,Big Ten,0
2012,regular,1,AP Top 25,19,Oklahoma State,Big 12,0
2012,regular,1,AP Top 25,20,TCU,Big 12,0
2012,regular,1,AP Top 25,21,Stanford,Pac-12,0
2012,regular,1,AP Top 25,22,Kansas State,Big 12,0
2012,regular,1,AP Top 25,23,Florida,SEC,0
2012,regular,1,AP Top 25,24,Boise State,Mountain West,0
2012,regular,1,AP Top 25,25,Louisville,Big East,0
2012,regular,1,Coaches Poll,1,LSU,SEC,18
2012,regular,1,Coaches Poll,2,Alabama,SEC,20
2012,regular,1,Coaches Poll,3,USC,Pac-12,19
2012,regular,1,Coaches Poll,4,Oklahoma,Big 12,0
2012,regular,1,Coaches Poll,5,Oregon,Pac-12,0
2012,regular,1,Coaches Poll,6,Georgia,SEC,0
2012,regular,1,Coaches Poll,7,Florida State,ACC,0
2012,regular,1,Coaches Poll,8,Michigan,Big Ten,0
2012,regular,1,Coaches Poll,9,South Carolina,SEC,0
2012,regular,1,Coaches Poll,10,Arkansas,SEC,0
2012,regular,1,Coaches Poll,11,West Virginia,Big 12,0
2012,regular,1,Coaches Poll,12,Wisconsin,Big Ten,0
2012,regular,1,Coaches Poll,13,Michigan State,Big Ten,0
2012,regular,1,Coaches Poll,14,Clemson,ACC,0
2012,regular,1,Coaches Poll,15,Texas,Big 12,0
2012,regular,1,Coaches Poll,16,Nebraska,Big Ten,0
2012,regular,1,Coaches Poll,17,TCU,Big 12,0
