season,seasontype,week,poll,rank,team,conference,firstplacevotes
2013,regular,1,AP Top 25,1,Alabama,SEC,58
2013,regular,1,AP Top 25,2,Ohio State,Big Ten,1
2013,regular,1,AP Top 25,3,Oregon,Pac-12,0
2013,regular,1,AP Top 25,4,Stanford,Pac-12,0
2013,regular,1,AP Top 25,5,Georgia,SEC,1
2013,regular,1,AP Top 25,6,South Carolina,SEC,0
2013,regular,1,AP Top 25,7,Texas A&M,SEC,0
2013,regular,1,AP Top 25,8,Clemson,ACC,0
2013,regular,1,AP Top 25,9,Louisville,American Athletic,0
2013,regular,1,AP Top 25,10,Florida,SEC,0
2013,regular,1,AP Top 25,11,Florida State,ACC,0
2013,regular,1,AP Top 25,12,LSU,SEC,0
2013,regular,1,AP Top 25,13,Oklahoma State,Big 12,0
2013,regular,1,AP Top 25,14,Notre Dame,FBS Independents,0
2013,regular,1,AP Top 25,15,Texas,Big 12,0
2013,regular,1,AP Top 25,16,Oklahoma,Big 12,0
2013,regular,1,AP Top 25,17,Michigan,Big Ten,0
2013,regular,1,AP Top 25,18,Nebraska,Big Ten,0
2013,regular,1,AP Top 25,19,Boise State,Mountain West,0
2013,regular,1,AP Top 25,20,TCU,Big 12,0
2013,regular,1,AP Top 25,21,UCLA,Pac-12,0
2013,regular,1,AP Top 25,22,Northwestern,Big Ten,0
2013,regular,1,AP Top 25,23,Wisconsin,Big Ten,0
2013,regular,1,AP Top 25,24,USC,Pac-12,0
2013,regular,1,AP Top 25,25,Oregon State,Pac-12,0
2013,regular,1,Coaches Poll,1,Alabama,SEC,58
2013,regular,1,Coaches Poll,2,Ohio State,Big Ten,3
2013,regular,1,Coaches Poll,3,Oregon,Pac-12,0
2013,regular,1,Coaches Poll,4,Stanford,Pac-12,0
2013,regular,1,Coaches Poll,5,Georgia,SEC,0
2013,regular,1,Coaches Poll,6,Texas A&M,SEC,1
2013,regular,1,Coaches Poll,7,South Carolina,SEC,0
2013,regular,1,Coaches Poll,8,Clemson,ACC,0
2013,regular,1,Coaches Poll,9,Louisville,American Athletic,0
2013,regular,1,Coaches Poll,10,Florida,SEC,0
2013,regular,1,Coaches Poll,11,Notre Dame,FBS Independents,0
2013,regular,1,Coaches Poll,12,Florida State,ACC,0
2013,regular,1,Coaches Poll,13,LSU,SEC,0
2013,regular,1,Coaches Poll,14,Oklahoma State,Big 12,0
2013,regular,1,Coaches Poll,15,Texas,Big 12,0
2013,regular,1,Coaches Poll,16,Oklahoma,Big 12,0
2013,regular,1,Coaches Poll,17,Michigan,Big Ten,0
2013,regular,1,Coaches Poll,18,Nebraska,Big Ten,0
2013,regular,1,Coaches Poll,19,Boise State,Mountain West,0
2013,regular,1,Coaches Poll,20,TCU,Big 12,0
2013,regular,1,Coaches Poll,21,UCLA,Pac-12,0
2013,regular,1,Coaches Poll,22,Northwestern,Big Ten,0
2013,regular,1,Coaches Poll,23,Wisconsin,Big Ten,0
2013,regular,1,Coaches Poll,24,USC,Pac-12,0
2013,regular,1,Coaches Poll,25,Oregon State,Pac-12,0
2013,regular,1,AFCA Division II Coaches Poll,1,Valdosta State,,26
2013,regular,1,AFCA Division II Coaches Poll,2,Minnesota State Mankato,,3
2013,regular,1,AFCA Division II Coaches Poll,3,West Texas A&M,,1
2013,regular,1,AFCA Division II Coaches Poll,4,Northwest Missouri St,,1
2013,regular,1,AFCA Division II Coaches Poll,5,Winston-Salem,CIAA,0
2013,regular,1,AFCA Division II Coaches Poll,6,Missouri Western,,0
2013,regular,1,AFCA Division II Coaches Poll,7,Shippensburg,,0
2013,regular,1,AFCA Division II Coaches Poll,8,CSU Pueblo,,0
2013,regular,1,AFCA Division II Coaches Poll,9,Ashland,,0
2013,regular,1,AFCA Division II Coaches Poll,10,Indiana-Pennsylvania,,1
2013,regular,1,AFCA Division II Coaches Poll,11,Minnesota Duluth,,0
2013,regular,1,AFCA Division II Coaches Poll,12,New Haven,,0
2013,regular,1,AFCA Division II Coaches Poll,13,Henderson State,,0
2013,regular,1,AFCA Division II Coaches Poll,14,Grand Valley State University,,0
2013,regular,1,AFCA Division II Coaches Poll,15,Midwestern State,,0
2013,regular,1,AFCA Division II Coaches Poll,16,West Alabama,,0
2013,regular,1,AFCA Division II Coaches Poll,17,Carson-Newman College,,0
2013,regular,1,AFCA Division II Coaches Poll,18,Bloomsburg,,0
2013,regular,1,AFCA Division II Coaches Poll,19,Indianapolis,,0
2013,regular,1,AFCA Division II Coaches Poll,20,Chadron St,,0
2013,regular,1,AFCA Division II Coaches Poll,21,Pittsburg St,,0
2013,regular,1,AFCA Division II Coaches Poll,22,Saginaw Valley State,,0
2013,regular,1,AFCA Division II Coaches Poll,23,Lenoir-Rhyne,,0
2013,regular,1,AFCA Division II Coaches Poll,24,Tuskegee,,0
2013,regular,1,AFCA Division II Coaches Poll,25,Shepherd,,0
2013,regular,2,AP Top 25,1,Alabama,SEC,58
2013,regular,2,AP Top 25,2,Oregon,Pac-12,0
2013,regular,2,AP Top 25,3,Ohio State,Big Ten,1
2013,regular,2,AP Top 25,4,Clemson,ACC,1
2013,regular,2,AP Top 25,5,Stanford,Pac-12,0
2013,regular,2,AP Top 25,6,South Carolina,SEC,0
2013,regular,2,AP Top 25,7,Texas A&M,SEC,0
2013,regular,2,AP Top 25,8,Louisville,American Athletic,0
2013,regular,2,AP Top 25,9,LSU,SEC,0
2013,regular,2,AP Top 25,10,Florida State,ACC,0
2013,regular,2,AP Top 25,11,Georgia,SEC,0
2013,regular,2,AP Top 25,12,Florida,SEC,0
2013,regular,2,AP Top 25,13,Oklahoma State,Big 12,0
2013,regular,2,AP Top 25,14,Notre Dame,FBS Independents,0
2013,regular,2,AP Top 25,15,Texas,Big 12,0
2013,regular,2,AP Top 25,16,Oklahoma,Big 12,0
2013,regular,2,AP Top 25,17,Michigan,Big Ten,0
2013,regular,2,AP Top 25,18,UCLA,Pac-12,0
2013,regular,2,AP Top 25,19,Northwestern,Big Ten,0
2013,regular,2,AP Top 25,20,Washington,Pac-12,0
2013,regular,2,AP Top 25,21,Wisconsin,Big Ten,0
2013,regular,2,AP Top 25,22,Nebraska,Big Ten,0
2013,regular,2,AP Top 25,23,Baylor,Big 12,0
2013,regular,2,AP Top 25,24,TCU,Big 12,0
2013,regular,2,AP Top 25,25,USC,Pac-12,0
2013,regular,2,Coaches Poll,1,Alabama,SEC,58
2013,regular,2,Coaches Poll,2,Ohio State,Big Ten,3
2013,regular,2,Coaches Poll,3,Oregon,Pac-12,0
2013,regular,2,Coaches Poll,4,Stanford,Pac-12,0
2013,regular,2,Coaches Poll,5,Clemson,ACC,0
2013,regular,2,Coaches Poll,6,South Carolina,SEC,0
2013,regular,2,Coaches Poll,7,Texas A&M,SEC,1
2013,regular,2,Coaches Poll,8,Louisville,American Athletic,0
2013,regular,2,Coaches Poll,9,Florida,SEC,0
2013,regular,2,Coaches Poll,10,Florida State,ACC,0
2013,regular,2,Coaches Poll,11,LSU,SEC,0
2013,regular,2,Coaches Poll,12,Georgia,SEC,0
