id,season,week,seasonType,startDate,completed,neutralSite,conferenceGame,venue,homeTeam,homeConference,homePoints,homeLineScores,awayTeam,awayConference,awayPoints,awayLineScores
400869090,2016,1,regular,2016-08-27T02:00:00.000Z,1,1,0,ANZ Stadium,California,Pac-12,51,"[17, 17, 7, 10]",Hawai'i,Mountain West,31,"[14, 0, 10, 7]"
400869421,2016,1,regular,2016-09-01T23:00:00.000Z,1,0,0,Allegacy Federal Credit Union Stadium,Wake Forest,ACC,7,"[0, 7, 0, 0]",Tulane,American Athletic,3,"[3, 0, 0, 0]"
400869257,2016,1,regular,2016-09-01T23:00:00.000Z,1,0,0,Kelly/Shorts Stadium,Central Michigan,Mid-American,49,"[7, 7, 14, 21]",Presbyterian,Big South,3,"[0, 3, 0, 0]"
400869341,2016,1,regular,2016-09-01T23:00:00.000Z,1,0,0,L&N Federal Credit Union Stadium,Louisville,ACC,70,"[28, 28, 7, 7]",Charlotte,Conference USA,14,"[0, 0, 7, 7]"
400869503,2016,1,regular,2016-09-01T23:00:00.000Z,1,0,0,Pratt & Whitney Stadium,UConn,American Athletic,24,"[0, 7, 7, 10]",Maine,CAA,21,"[7, 0, 7, 7]"
400869502,2016,1,regular,2016-09-01T23:00:00.000Z,1,0,0,Nippert Stadium,Cincinnati,American Athletic,28,"[0, 6, 8, 14]",UT Martin,OVC,7,"[7, 0, 0, 0]"
400869342,2016,1,regular,2016-09-01T23:30:00.000Z,1,0,0,FIU Stadium,Florida International,Conference USA,13,"[3, 7, 3, 0]",Indiana,Big Ten,34,"[5, 7, 0, 22]"
400868977,2016,1,regular,2016-09-01T23:30:00.000Z,1,0,0,Neyland Stadium,Tennessee,SEC,20,"[3, 0, 3, 7, 7]",App State,Sun Belt,13,"[7, 6, 0, 0, 0]"
400869422,2016,1,regular,2016-09-01T23:30:00.000Z,1,0,0,Carter-Finley Stadium,NC State,ACC,48,"[7, 21, 7, 13]",William & Mary,CAA,14,"[7, 0, 7, 0]"
400868968,2016,1,regular,2016-09-02T00:00:00.000Z,1,0,1,FirstBank Stadium,Vanderbilt,SEC,10,"[3, 7, 0, 0]",South Carolina,SEC,13,"[0, 0, 3, 10]"
400869347,2016,1,regular,2016-09-02T00:00:00.000Z,1,0,1,Houchens Industries-L.T. Smith Stadium,Western Kentucky,Conference USA,46,"[16, 14, 6, 10]",Rice,Conference USA,14,"[0, 7, 7, 0]"
400869091,2016,1,regular,2016-09-02T00:00:00.000Z,1,0,0,Rice-Eccles Stadium,Utah,Pac-12,24,"[3, 14, 0, 7]",Southern Utah,Big Sky,0,"[0, 0, 0, 0]"
400869173,2016,1,regular,2016-09-02T00:00:00.000Z,1,0,0,Maverik Stadium,Utah State,Mountain West,45,"[14, 7, 10, 14]",Weber State,Big Sky,6,"[0, 6, 0, 0]"
