season,seasonType,week,poll,rank,team,conference,points
2020,regular,1,AP Top 25,1,Clemson,ACC,1520.0
2020,regular,1,AP Top 25,2,Ohio State,Big Ten,1504.0
2020,regular,1,AP Top 25,3,Alabama,SEC,1422.0
2020,regular,1,AP Top 25,4,Georgia,SEC,1270.0
2020,regular,1,AP Top 25,5,Oklahoma,Big 12,1269.0
2020,regular,1,AP Top 25,6,LSU,SEC,1186.0
2020,regular,1,AP Top 25,7,Penn State,Big Ten,1147.0
2020,regular,1,AP Top 25,8,Florida,SEC,1125.0
2020,regular,1,AP Top 25,9,Oregon,Pac-12,1119.0
2020,regular,1,AP Top 25,10,Notre Dame,FBS Independents,995.0
2020,regular,1,AP Top 25,11,Auburn,SEC,852.0
2020,regular,1,AP Top 25,12,Wisconsin,Big Ten,840.0
2020,regular,1,AP Top 25,13,Texas A&M,SEC,764.0
2020,regular,1,AP Top 25,14,Texas,Big 12,703.0
2020,regular,1,AP Top 25,15,Oklahoma State,Big 12,672.0
2020,regular,1,AP Top 25,16,Michigan,Big Ten,611.0
2020,regular,1,AP Top 25,17,USC,Pac-12,534.0
2020,regular,1,AP Top 25,18,North Carolina,ACC,496.0
2020,regular,1,AP Top 25,19,Minnesota,Big Ten,451.0
2020,regular,1,AP Top 25,20,Cincinnati,American Athletic,234.0
2020,regular,1,AP Top 25,21,UCF,American Athletic,229.0
2020,regular,1,AP Top 25,22,Utah,Pac-12,211.0
2020,regular,1,AP Top 25,23,Iowa State,Big 12,199.0
2020,regular,1,AP Top 25,24,Iowa,Big Ten,134.0
2020,regular,1,AP Top 25,25,Tennessee,SEC,133.0
2020,regular,1,Coaches Poll,1,Clemson,ACC,1589.0
2020,regular,1,Coaches Poll,2,Ohio State,Big Ten,1555.0
2020,regular,1,Coaches Poll,3,Alabama,SEC,1495.0
2020,regular,1,Coaches Poll,4,Georgia,SEC,1345.0
2020,regular,1,Coaches Poll,5,LSU,SEC,1330.0
2020,regular,1,Coaches Poll,6,Oklahoma,Big 12,1315.0
2020,regular,1,Coaches Poll,7,Penn State,Big Ten,1199.0
2020,regular,1,Coaches Poll,8,Florida,SEC,1176.0
2020,regular,1,Coaches Poll,9,Oregon,Pac-12,1164.0
2020,regular,1,Coaches Poll,10,Notre Dame,FBS Independents,1012.0
2020,regular,1,Coaches Poll,11,Auburn,SEC,898.0
2020,regular,1,Coaches Poll,12,Wisconsin,Big Ten,887.0
2020,regular,1,Coaches Poll,13,Texas A&M,SEC,807.0
2020,regular,1,Coaches Poll,14,Texas,Big 12,703.0
2020,regular,1,Coaches Poll,15,Michigan,Big Ten,687.0
2020,regular,1,Coaches Poll,16,Oklahoma State,Big 12,524.0
2020,regular,1,Coaches Poll,17,USC,Pac-12,521.0
2020,regular,1,Coaches Poll,18,Minnesota,Big Ten,494.0
2020,regular,1,Coaches Poll,19,North Carolina,ACC,415.0
2020,regular,1,Coaches Poll,20,Utah,Pac-12,241.0
2020,regular,1,Coaches Poll,21,UCF,American Athletic,232.0
2020,regular,1,Coaches Poll,22,Cincinnati,American Athletic,229.0
2020,regular,1,Coaches Poll,23,Iowa,Big Ten,204.0
2020,regular,1,Coaches Poll,24,Virginia Tech,ACC,143.0
2020,regular,1,Coaches Poll,25,Iowa State,Big 12,135.0
2020,regular,3,AP Top 25,1,Clemson,ACC,1524.0
2020,regular,3,AP Top 25,2,Alabama,SEC,1456.0
2020,regular,3,AP Top 25,3,Oklahoma,Big 12,1361.0
2020,regular,3,AP Top 25,4,Georgia,SEC,1324.0
2020,regular,3,AP Top 25,5,Florida,SEC,1237.0
2020,regular,3,AP Top 25,6,LSU,SEC,1236.0
2020,regular,3,AP Top 25,7,Notre Dame,FBS Independents,1155.0
2020,regular,3,AP Top 25,8,Auburn,SEC,1055.0
2020,regular,3,AP Top 25,9,Texas,Big 12,1033.0
2020,regular,3,AP Top 25,10,Texas A&M,SEC,983.0
2020,regular,3,AP Top 25,11,Oklahoma State,Big 12,927.0
2020,regular,3,AP Top 25,12,North Carolina,ACC,892.0
2020,regular,3,AP Top 25,13,Cincinnati,American Athletic,647.0
2020,regular,3,AP Top 25,14,UCF,American Athletic,632.0
2020,regular,3,AP Top 25,15,Tennessee,SEC,528.0
2020,regular,3,AP Top 25,16,Memphis,American Athletic,495.0
2020,regular,3,AP Top 25,17,Miami,ACC,463.0
2020,regular,3,AP Top 25,18,Louisville,ACC,387.0
2020,regular,3,AP Top 25,19,Louisiana,Sun Belt,377.0
2020,regular,3,AP Top 25,20,Virginia Tech,ACC,368.0
2020,regular,3,AP Top 25,21,BYU,FBS Independents,357.0
2020,regular,3,AP Top 25,22,Army,FBS Independents,243.0
2020,regular,3,AP Top 25,23,Kentucky,SEC,238.0
2020,regular,3,AP Top 25,24,App State,Sun Belt,237.0
