season,seasonType,week,poll,rank,team,conference,points
2018,regular,1,AFCA Division II Coaches Poll,1,East Texas A&M,Lone Star,748
2018,regular,1,AFCA Division II Coaches Poll,2,West Florida,Gulf South,721
2018,regular,1,AFCA Division II Coaches Poll,3,Minnesota State Mankato,Northern Sun,691
2018,regular,1,AFCA Division II Coaches Poll,4,Indiana-Pennsylvania,Pennsylvania State Athletic,666
2018,regular,1,AFCA Division II Coaches Poll,5,Northwest Missouri St,Mid America,591
2018,regular,1,AFCA Division II Coaches Poll,5,Fort Hays State,Mid America,591
2018,regular,1,AFCA Division II Coaches Poll,7,Harding University,Great American,550
2018,regular,1,AFCA Division II Coaches Poll,8,Ferris State,GLIAC,503
2018,regular,1,AFCA Division II Coaches Poll,9,Central Washington,Great Northwest,494
2018,regular,1,AFCA Division II Coaches Poll,10,Grand Valley State University,GLIAC,478
2018,regular,1,AFCA Division II Coaches Poll,11,Midwestern State,Lone Star,473
2018,regular,1,AFCA Division II Coaches Poll,12,West Alabama,Gulf South,470
2018,regular,1,AFCA Division II Coaches Poll,13,Indianapolis,Great Lakes,402
2018,regular,1,AFCA Division II Coaches Poll,14,CSU Pueblo,Rocky Mountain,401
2018,regular,1,AFCA Division II Coaches Poll,15,Ashland,GLIAC,350
2018,regular,1,AFCA Division II Coaches Poll,16,Shepherd,Mountain East,332
2018,regular,1,AFCA Division II Coaches Poll,17,Assumption,Northeast 10,292
2018,regular,1,AFCA Division II Coaches Poll,18,Central Missouri,Mid America,209
2018,regular,1,AFCA Division II Coaches Poll,19,West Georgia,Gulf South,196
2018,regular,1,AFCA Division II Coaches Poll,20,Sioux Falls,Northern Sun,158
2018,regular,1,AFCA Division II Coaches Poll,21,Winona State,Northern Sun,134
2018,regular,1,AFCA Division II Coaches Poll,22,Carson-Newman College,South Atlantic,118
2018,regular,1,AFCA Division II Coaches Poll,23,Ohio Dominican,Great Midwest Athletic,105
2018,regular,1,AFCA Division II Coaches Poll,24,Ouachita Baptist,Great American,102
