id,first_name,last_name,team,weight,height,jersey,year,position,home_city,home_state,home_country,home_latitude,home_longitude,home_county_fips,recruit_ids
134695,Zach,Sasser,Air Force,,,,,,,,,,,,[]
152498,Jacobe,Kendrick,Air Force,,,,,,,,,,,,[]
156036,Chris,Sutton,Air Force,,,,,,,,,,,,[]
156977,Beau,Suder,Air Force,,,,,,,,,,,,[]
164361,Shaun,Carney,Air Force,,,,,,,,,,,,[]
164362,Justin,Handley,Air Force,,,,,,,,,,,,[]
168332,Bobby,Giannini,Air Force,,,,,,,,,,,,[]
168413,Chad,Smith,Air Force,,,,,,,,,,,,[]
168537,Carson,Bird,Air Force,,,,,,,,,,,,[]
168765,Julian,Madrid,Air Force,,,,,,,,,,,,[]
168768,Adam,Zanotti,Air Force,,,,,,,,,,,,[]
169730,Nathan,Smith,Air Force,,,,,,,,,,,,[]
169733,Jim,Ollis,Air Force,,,,,,,,,,,,[]
169734,Kip,McCarthy,Air Force,,,,,,,,,,,,[]
169738,Ty,Paffett,Air Force,,,,,,,,,,,,[]
169742,Charles,Wells,Air Force,,,,,,,,,,,,[]
169744,John,Rabold,Air Force,,,,,,,,,,,,[]
169755,Ryan,Williams,Air Force,,,77.0,,?,,,USA,33.532005,131.3496745,,[]
169756,Scott,Peeples,Air Force,,,,,,,,,,,,[]
169783,Vic,Thompson,Air Force,,,,,,,,,,,,[]
169796,Christopher,Carp,Air Force,,,,,,,,,,,,[]
169801,Travis,Dekker,Air Force,,,,,,,,,,,,[]
175929,Chad,Hall,Air Force,,,,,,,,,,,,[]
175932,Garrett,Rybak,Air Force,,,,,,,,,,,,[]
183908,Mike,Moffett,Air Force,,,,,,,,,,,,[]
183915,Hunter,Altman,Air Force,,,,,,,,,,,,[]
190201,Spencer,Armstrong,Air Force,,,,,,,,,,,,[]
190218,Mark,Root,Air Force,,,,,,,,,,,,[]
190220,Shea,Smith,Air Force,,,,,,,,,,,,[]
195620,Chris,Thomas,Air Force,,71.0,34.0,,DB,Westerville,OH,USA,40.126139,-82.9295287,39049,[]
197577,Robert,Barlow,Air Force,,,,,,,,,,,,[]
133617,Matt,Domonkos,Akron,,,,,,,,,,,,[]
134939,Luke,Getsy,Akron,,,,,,,,,,,,[]
135725,Mark,Groza,Akron,,,,,,,,,,,,[]
147331,Jabari,Arthur,Akron,,,,,,,,,,,,[]
147337,Reggie,Corner,Akron,,,,,,,,,,,,[]
147359,Kris,Kasparek,Akron,,,,,,,,,,,,[]
147363,John,Mackey,Akron,,,,,,,,,,,,[]
147386,Josh,Smith,Akron,,73.0,47.0,,WR,Cincinnati,OH,USA,39.1014537,-84.5124602,39061,[]
156853,Dennis,Kennedy,Akron,,,,,,,,,,,,[]
157697,Johnny,Long,Akron,,,,,,,,,,,,[]
157698,Joe,McDaniel,Akron,,,,,,,,,,,,[]
162370,Andre,Walker,Akron,,,,,,,,,,,,[]
169494,Brandon,Anderson,Akron,,,,,,,,,,,,[]
169515,Carlton,Jackson,Akron,,,,,,,,,,,,[]
169519,Jermaine,Lindsay,Akron,,,,,,,,,,,,[]
169521,Bryant,McMillon,Akron,180.0,68.0,35.0,,DB,Cincinnati,OH,USA,39.1014537,-84.5124602,39061,[]
169523,Merce,Poindexter,Akron,,,,,,,,,,,,[]
169525,Joe,Tuzze,Akron,,71.0,32.0,,RB,Mayfield,PA,USA,41.5381373,-75.5360186,42069,[]
190229,David,Harvey,Akron,,,,,,,,,,,,[]
190232,Andre,Jones,Akron,,71.0,21.0,,WR,Forestville,MD,USA,38.8451131,-76.8749722,24033,[]
190241,Aaris,Reed,Akron,,,,,,,,,,,,[]
190245,John,Stec,Akron,,68.0,38.0,,P,Delray Beach,FL,USA,26.4614625,-80.0728201,12099,[]
197772,Jon,McClain,Akron,,,,,,,,,,,,[]
133282,Marc,Guillon,Alabama,,,,,,,,,,,,[]
136364,Kenneth,Darby,Alabama,,,,,,,,,,,,[]
